Time,ssb,ssb.se,added_sugar,added_sugar.se,sodium,sodium.se,kcal,kcal.se,sfat,sfat.se
85,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
86,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
87,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
88,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
89,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
90,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
91,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
92,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
93,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
94,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
95,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
96,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
97,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
98,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
99,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
100,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12
